綾瀬;ふう…これで大丈夫よ;kaede_default;yayoi_off;back;
浩介;ありがとう;kaede_default_off;yayoi_off;back;
弥生;黄色ブドウ球菌って何だったの？;kaede_default_off;yayoi;back;
綾瀬;おそらく、食中毒だと思う;kaede_default;yayoi_off;back;
弥生;食中毒？;kaede_default_off;yayoi;back;
弥生;食中毒ってよく聞くけど、そんなに危険なの？;kaede_default_off;yayoi;back;
綾瀬;昔、大手企業の牛乳で集団食中毒が発生してるわ;kaede_default;yayoi_off;back;
弥生;へー、食中毒ってなんで起こるんだ？;kaede_default_off;yayoi;back;
綾瀬;食べ物とか手から細菌が体内に入って起こすの;kaede_default;yayoi_off;back;
弥生;そーなのかー、もっと細菌について知るべきなのかな;kaede_default_off;yayoi;back;
綾瀬;そうね。他にも最近には様々な危険があるわ。;kaede_default;yayoi_off;back;
綾瀬;それは、またの機会に…ね？;kaede_default;yayoi_off;back;
ナレーション;ステージクリア！;kaede_default;yayoi;back;
