;-病院-;nasi;nasi;nasi;nasi;nasi;sai_1;手紙のさよなら;;
雪乃;敗血症..?;nasi;nasi;nasi;nasi;nasi;sai_1;手紙のさよなら;;
彩;ごめんな、急にこんなこと言って。大丈夫か？;nasi;nasi;nasi;nasi;nasi;sai_1;;;
雪乃;うん、大丈夫。ありがとう。話してくれて。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
;そう言いつつも私たち４人は、現実を受け止められずにいた;nasi;nasi;nasi;nasi;nasi;sai_1;;;
弥生;2か月...ですか...;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;大丈夫なわけないよな...今日は帰って休んだらどうだ？;nasi;nasi;nasi;nasi;nasi;sai_1;;;
楓;そうだね。今日はそうさせてもらおうかな。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;おう！またな。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
雪乃;ねぇ...もう少しだけここにいてもいいかな？;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;構わないけど...;nasi;nasi;nasi;nasi;nasi;sai_1;;;
弥生;彩も疲れてると思うしあまり長居はしないように。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
楓;じゃあ、外で待ってるね;nasi;nasi;nasi;nasi;nasi;sai_1;;;
;３人が部屋を出て、病室には私と彩の２人が残った。<br>みんな私の想いを知ってるから察してくれたのだろう。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
雪乃;本当にもう２ヵ月しかないの？<br>そんな嘘だよね？;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;....;nasi;nasi;nasi;nasi;nasi;sai_1;;;
雪乃;ねぇっ！;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;日々、身体が弱っていってるのが分かるんだ。<br>今まで出来ていたことができなくなってきてるんだ...;nasi;nasi;nasi;nasi;nasi;sai_1;;;
雪乃;彩....;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;なあに、俺も簡単に死ぬ気はないさ。<br>まだやりたいことも残ってるしな。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
雪乃;そっか、その言葉信じるからね。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;みんな外で待ってるんだろ？<br>そろそろ行ったらどうだ？;nasi;nasi;nasi;nasi;nasi;sai_1;;;
雪乃;そうだね。また来るから大人しくしてなよ。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
彩;分かってる。;nasi;nasi;nasi;nasi;nasi;sai_1;;;
;病室を出た後、閉めた扉の前から動けずにいた<br>さっきの彼の言葉が嘘だというのは分かっている<br>何よりも彼に気を使わせてしまった自分が許せなかった。;nasi;nasi;nasi;nasi;nasi;hospital2;;;
;病室のなかから彼の声が聞こえてきた;nasi;nasi;nasi;nasi;nasi;hospital2;;;
彩;雪乃...ごめん...;nasi;nasi;yukino;nasi;nasi;hospital2;;;
彩;.......................;nasi;nasi;yukino;nasi;nasi;hospital2;;;
雪乃;絶対...死なないでよ...信じてるから;nasi;nasi;yukino;nasi;nasi;hospital2;;;
;それは彼の独り言だったのだろう;nasi;nasi;nasi;nasi;nasi;hospital2;;;
;しかしその言葉を聞いてしまった私は、もう病室の前にいることはできなかった。;nasi;nasi;nasi;nasi;nasi;hospital2;;;
;数日後、彩の両親から連絡がきた;nasi;nasi;nasi;nasi;nasi;black;;;
;彩の病状が悪化したこと<br>そして、もう長くはないこと<br>最期に彩の顔を見にこないかということだった;nasi;nasi;nasi;nasi;nasi;black;;;
;病院に到着した;nasi;nasi;nasi;nasi;nasi;black;;;
