楓;「よし！」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
弥生;「倒せたね」;yayoi;kaede_off;yukino_off;tiharu_off;sipses_off;back;
シプセス;「お姉ちゃん強いね<br>頼りになる」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
楓;「えへへ・・・」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
雪乃;「ふえ～私もやればできるんですけど～？？↑↑」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
シプセス;「・・・うるさい。」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
雪乃;「なんですって？」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
弥生;「まあまあ（笑）<br>ところでシプセスさん、さっきのは何の細菌だったの？」;yayoi;kaede_off;yukino_off;tiharu_off;sipses_off;back;
シプセス;「あれは・・・分からない。<br>細菌じゃない・・・。<br>もしかしたら・・・。」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
弥生;「ほえ～？<br>彩の体内が何やら大変なことになってそうだね。<br>急がなきゃ！」;yayoi;kaede_off;yukino_off;tiharu_off;sipses_off;back;
シプセス;「古悪魔【ヴァイス】達が復活を企んでいるのかもしれない…！」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
雪乃;「なんだかエラく話が飛躍したような・・・<br>ここって彩の体内でしょ？<br>いつからファンタジーになったのよ」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
楓;「体内に私たちがいる時点で既にファンタジーなんだよなあ…」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
弥生;「で、古悪魔って一体何者？」;yayoi;kaede_off;yukino_off;tiharu_off;sipses_off;back;
シプセス;「人間の負の感情を糧にして力を集める種族よ<br>かつての英雄たちによって絶滅したと思っていたのだけど<br>まさかこんなところに身を潜めているとは思わなかったわ」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
雪乃;「ってことは、彩のエネルギーを吸収してるってわけ！？<br>マジヤバじゃん！」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
千遥;「急いで古悪魔を追い出さなきゃ！」;yayoi_off;kaede_off;yukino_off;tiharu;sipses_off;back;
楓;「そうだよ！頑張ろ！！」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
;再び足を動かし始めた。;nasi;nasi;nasi;nasi;nasi;back;
;第3話「古悪魔【ヴァイス】とは---」。;nasi;nasi;nasi;nasi;nasi;back;
;それから私たちはひたすら彩の体内らしき空間を歩き続けた。<br>体内だと思い込んでいたが、ここは彩の負のエネルギーを利用して古悪魔が生み出した空間らしい。;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
;彩の負のエネルギーが生み出した空間<br>果たしてこの先に何が待ち受けているのか…;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
シプセス;「彩は助けを求めている<br>負の感情の中にかすかに生きたいという希望を感じるのです。」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
楓;「そのために私たちが呼ばれた…？」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
雪乃;「それって、マジヤバじゃん！<br>激アツだね！」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
シプセス;「・・・」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
雪乃;「今、馬鹿を見るような目で私の事見たでしょ！<br>このモヤシっ娘！」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
シプセス;「…あなたと話すと馬鹿がうつるので話しかけないで欲しいのですね。」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;
雪乃;「ひどい！傷ついた！<br>訴訟だ!訴訟!!」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
;その時、目の前に何かの気配を感じた。;nasi;nasi;nasi;nasi;nasi;back;
雪乃;「何か来るよ！<br>ホラホラたまには戦いなさいよ！モヤシっ娘！」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
シプセス;「嫌なのですね。」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;
雪乃;「ｷｰｯ!!!!」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
楓;「まあまあ…<br>みんな下がって、ここは私が行くから」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
弥生;「（本当に助けられるのかな…？）」;yayoi;kaede_off;yukino_off;tiharu_off;sipses_off;back;
