千遥;彩！！！！;nasi;nasi;tiharu;nasi;nasi;tonneru;;;
千遥;彩！ごめんね！私！;nasi;nasi;tiharu;nasi;nasi;tonneru;;;
千遥;私、彩に会うの怖くて逃げちゃった！;nasi;nasi;tiharu;nasi;nasi;tonneru;;;
彩;いいんだ千遥、ありがとな;nasi;nasi;nasi;nasi;nasi;tonneru;;;
;彩の体は光となって空に散乱していく;nasi;nasi;nasi;nasi;nasi;tonneru;;;
千遥;彩！？;nasi;nasi;tiharu;nasi;nasi;tonneru;;;
シプセス;大丈夫なのです、彩さんは元の世界に戻りました;nasi;tiharu_off;nasi;sipses;nasi;tonneru;;;
千遥;そっか.....良かった....;nasi;tiharu;nasi;sipses;nasi;tonneru;;;
千遥;シプセスちゃん？？どうしたの？？それ...;nasi;tiharu;nasi;sipses;nasi;tonneru;;;
;シプセスの背中に片翼が生えていた;nasi;nasi;nasi;nasi;nasi;tonneru;;;
シプセス;ゲームでいうラスボスってやつなのです;nasi;nasi;sipses;nasi;nasi;tonneru;;;
千遥;何を言ってるの？;nasi;tiharu;nasi;sipses_off;nasi;tonneru;;;
シプセス;私を倒してくださいなのです！！;nasi;tiharu_off;nasi;sipses;nasi;tonneru;;;
;シプセスの叫びに驚きを隠せない;nasi;nasi;nasi;nasi;nasi;tonneru;;;
千遥;そんな.....どうしてなの？;nasi;tiharu;nasi;sipses_off;nasi;tonneru;;;
シプセス;もう自我が持たないのです...<br>説明している時間はありません...;nasi;tiharu_off;nasi;sipses;nasi;tonneru;;;
シプセス;ごめんなさい...みなさん....;nasi;nasi;sipses;nasi;nasi;tonneru;;;
;シプセスは両翼を広げ襲い掛かってきた;nasi;nasi;nasi;nasi;nasi;tonneru;;;
