;幼馴染の神代 彩(かみしろ さい)が入院したとお母さんから聞いた;nasi;nasi;nasi;nasi;nasi;station;;;
;彩は小さな頃から貧弱だった;nasi;nasi;nasi;nasi;nasi;station;;;
千遥;幼馴染としてお見舞いぐらいいってあげないとね;nasi;nasi;nasi;nasi;nasi;station;;;
千遥;どうせ寝ずにゲームでもやって貧血になったんだろうけど;nasi;nasi;nasi;nasi;nasi;station;;;
;ちょっとからかってやればすぐに元気になるだろう<br>そんな風に思っていた。;nasi;nasi;nasi;nasi;nasi;hospital;;;
;病室の前に来た時だった。<br>中の会話が聞こえてきた;nasi;nasi;nasi;nasi;nasi;hospital2;;;
お母さん;そんな......;nasi;nasi;nasi;nasi;nasi;hospital2;;;
お母さん;なにかの間違いですよね？？;nasi;nasi;nasi;nasi;nasi;hospital2;;;
お母さん;彩が残り2ヵ月だなんて....;nasi;nasi;nasi;nasi;nasi;hospital2;;;
千遥;2ヵ月？？なに？何のことを言っているの？;nasi;nasi;nasi;nasi;nasi;hospital2;;;
彩;そっか、死ぬのか...;nasi;nasi;nasi;nasi;nasi;hospital2;;;
お母さん;そんなことない！きっと大丈夫よ！<br>ねぇ！？、お医者さん？;nasi;nasi;nasi;nasi;nasi;hospital2;;;
医師;........;nasi;nasi;nasi;nasi;nasi;hospital2;;;
彩;母さん、いままでありがとう...;nasi;nasi;nasi;nasi;nasi;hospital2;;;
千遥;死ぬ？？.....<br>嘘でしょ....？;nasi;nasi;nasi;nasi;nasi;hospital2;星粒が降る夜;;
;何が起きているのかわからず<br>その場に立ち尽くしてしまった;nasi;nasi;nasi;nasi;nasi;hospital;;;
;廊下からバタバタと走る音が聞こえてくる;nasi;nasi;nasi;nasi;nasi;hospital;;;
お父さん;あっ千遥ちゃん...来てくれたんだね;nasi;nasi;nasi;nasi;nasi;hospital2;;;
千遥;彩の..お父さん...<br>はい....;nasi;nasi;nasi;nasi;nasi;hospital2;;;
千遥;ごめんなさい！私、帰ります！;nasi;nasi;nasi;nasi;nasi;hospital2;;;
