雪乃;ねぇっあそこにいるの彩じゃない！？;kaede_off;tiharu_off;sipses_off;yukino;yayoi_off;rindou
千遥;どこ！！;kaede_off;tiharu;sipses_off;yukino_off;yayoi_off;rindou
雪乃;ほら！あそこ！;kaede_off;tiharu_off;sipses_off;yukino;yayoi_off;rindou
;雪乃が指差す向こうには細菌に囲まれている彩がいた;nasi;nasi;nasi;nasi;nasi;tonneru
千遥;彩！！！！;kaede_off;tiharu;sipses_off;yukino_off;yayoi_off;tonneru
;千遥は我を忘れて彩の元へ走っていった;nasi;nasi;nasi;nasi;nasi;tonneru
シプセス;待つのです！！千遥！;kaede_off;tiharu_off;sipses;yukino_off;yayoi_off;tonneru
楓;千遥ちゃん！;kaede;tiharu_off;sipses_off;yukino_off;yayoi_off;tonneru
;千遥には静止の声は届かなかった;nasi;nasi;nasi;nasi;nasi;tonneru
;助けたい人が会いたい人が目の前にいる;nasi;nasi;nasi;nasi;nasi;tonneru
;一心不乱に走っていった;nasi;nasi;nasi;nasi;nasi;tonneru
弥生;千遥！！私たちも行かないと！;kaede_off;tiharu_off;sipses_off;yukino_off;yayoi;tonneru
;後から追いかけたが;nasi;nasi;nasi;nasi;nasi;tonneru
;千遥はすでに無数の細菌に押されていた;nasi;nasi;nasi;nasi;nasi;tonneru
