楓;シプセスちゃん！;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;皆さんお疲れ様です。<br>後は任せてください。;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
;その瞬間シプセスの身体が光りだした。<br>細菌が次々とシプセスに取り込まれ消えていく。;nasi;nasi;nasi;nasi;nasi;siro_2;;;
;そして----;nasi;nasi;nasi;nasi;nasi;siro_2;;;
シプセス;これで最後なのです;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
楓;何が起こったん？<br>シプセスちゃん大丈夫?;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;はい。これで彩さんに対して出来ることはやり終えました。<br>おそらく、彼はもう大丈夫でしょう。;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
楓;そっか...よかった...;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;なので、役目を終えたこの世界はまもなく崩れます.;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
雪乃;えっ！？どうすればこの世界から出られるの？;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;このまま真っすぐ走り抜けてください。<br>まだ細菌が少し残っていますがあなたたちなら大丈夫です。;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
楓;シプセスちゃんも一緒に来てくれるよね？;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;できれば出口までご一緒したかったんですが...<br>少し無理をしすぎました。;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
弥生;毒を以て毒を制す....;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;siro_2;;;
楓;細菌を以て細菌を制す..?<br>ってもしかして.....;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;気づいてしまいましたか。<br>私も細菌なのですよ。<br>あなたたちとは一緒にいられない存在なのです。;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
楓;シプセスちゃん...;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;さあ、あまり時間はありません。<br>出口へ向かってください。;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
弥生;楓、行こうか;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;siro_2;;;
楓;シプセスちゃん...<br>本当に...本当にありがとうね...！！<br>また会おうね！絶対だよ！;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;ええ、またいずれ...;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
楓;じゃあ、またね...！;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
シプセス;行かれましたか....<br>よかった。私も限界...なのです...;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
雪乃;まだ結構残ってるね...<br>最後だよ！出口まで頑張ろう！！;yukino;kaede_off;yayoi_off;tiharu_off;nasi;siro_2;;;
