シプセス;弥生...<br>強いのですね;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;Alien_is_coming;;
弥生;そんなことないよ;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;zinzya_siro;;;
雪乃;シプセスたんっ今のが細菌...？;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
シプセス;たん...<br>はい..緑膿菌です<br>敗血症の原因となっている主な菌の一つなのです;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
千遥;このぐらいなら私たちでもなんとかなりそうかな。;yukino_off;kaede_off;yayoi_off;tiharu;sipses_off;zinzya_siro;;;
楓;そうやねー頑張ろうっ;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
シプセス;今はなんとかなる...と思います;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
弥生;今は？？<br>今はってどういうこと？;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;zinzya_siro;;;
シプセス;今はなんとかなる...と思います<br>緑膿菌は身体の抵抗力があるうちは<br>自然に排除されるのです;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
シプセス;でも...身体の抵抗力が落ちていけば<br>用意に感染していき、いろいろな症状を起こします;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
弥生;抵抗力って...<br>彩の抵抗力はどんどん落ちてるんじゃ...;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;zinzya_siro;;;
シプセス;はい...なので今後、倒すことが困難になるかもしれません。<br>ですが安心してください...;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
シプセス;急激に抵抗力が落ちない限りは<br>今のあなたたちでも倒せます。;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
雪乃;とりあえずは大丈夫そうなんだー<br>よかったーさっきのでも怖かったもんっ;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
千遥;たしかに少し怖かったね;yukino_off;kaede_off;yayoi_off;tiharu;sipses_off;zinzya_siro;;;
楓;大丈夫やっみんなで戦えば怖くないんやでっ;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
雪乃;そうだねー！<br>かえ先輩優しいし、やよちゃんも強いし<br>心強いよ！;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
弥生;ちょっと変なあだ名つけないでよ<br>抵抗力が落ちないとは限らないんだよ<br>あなたも戦うんだから;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;zinzya_siro;;;
シプセス;１つ忘れていました...<br>あなた達は細菌と戦ってる...<br>なので、あなた達も細菌に感染する恐れがあるのです...;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
雪乃;えーーーーーーーーー！;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
;雪乃だけが声を上げ<br>他の３人は驚き戸惑っていた;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
;だが、驚いていたのは一瞬だけ;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
;私たちは彩を助けるためにいる<br>そんな事で止まってはいられない;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
千遥;それでも彩を助けないとだからね;yukino_off;kaede_off;yayoi_off;tiharu;sipses_off;zinzya_siro;;;
弥生;感染しなければいいんでしょ<br>大丈夫よ;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;zinzya_siro;;;
楓;そうやねっ;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
雪乃;うん！大丈夫！;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
シプセス;みなさん強くてよかったです<br>怖がらせてすみません...<br>ですがみなさんは健康体なので大丈夫だとは思います;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
雪乃;もー怖がらせないでよね！シプセスたんっ;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;zinzya_siro;;;
シプセス;ですが<br>怪我や接触でも感染しますので<br>気をつけてくださいなのです;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
楓;気をつけよなっ;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;;
シプセス;...<br>進みましょう...<br>近くに細菌がいます;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;zinzya_siro;;
