;ｾ..ﾌﾟ...ﾅｾﾞ..;nasi;nasi;nasi;nasi;nasi;bacteria_cg1;;;
;倒した細菌が最後に何か発していたが<br>聞き取れなかった;nasi;nasi;nasi;nasi;nasi;rindou;;;
弥生;セプ？;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;rindou;;;
雪乃;やよちゃんどうかした？;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;rindou;;;
弥生;いや、なんでもない<br>急ぎましょ;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;rindou;;;
シプセス;みなさん、この近くに彩さんがいるはずです;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;rindou;;;
楓;彩くんを見つけたらどうするん？;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;rindou;;;
シプセス;彩さんは細菌に侵食されているはずです..<br>なので、彩さんを侵食している細菌を全て倒すのです。;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;rindou;;;
千遥;全て...大変な戦いになりそうだね;yukino_off;kaede_off;yayoi_off;tiharu;sipses_off;rindou;;;
雪乃;最終決戦って感じだねっ;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;rindou;;;
弥生;彩...;yukino_off;kaede_off;yayoi;tiharu_off;sipses_off;rindou;;;
シプセス;あそこです<br>あの洞穴の中にいます;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;rindou;;;
;暗く不気味な洞穴...正直怖い...;nasi;nasi;nasi;nasi;nasi;tonneru;;;
;でも..今は怖いよりも彩を助けたい;nasi;nasi;nasi;nasi;nasi;tonneru;;;
;彩...;nasi;nasi;nasi;nasi;nasi;tonneru;;;
;弥生は一人で飛び出した;nasi;nasi;nasi;nasi;nasi;tonneru;;;
シプセス;待ってください！<br>一人で行くのは危険です！;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;tonneru;;;
雪乃;やよちゃん！！待って！！;yukino;kaede_off;yayoi_off;tiharu_off;sipses_off;tonneru;;;
;皆も弥生を追って走っていく;nasi;nasi;nasi;nasi;nasi;tonneru;;;
楓;弥生ちゃんってあんな子だったん？<br>もっと落ち着いた子じゃなかった？;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;tonneru;;;
千遥;ここに来てから変わったよね<br>彩のこと大事なんだ..;yukino_off;kaede_off;yayoi_off;tiharu;sipses_off;tonneru;;;
;弥生に追い付いた時にはすでに<br>無数の細菌に囲まれていた;nasi;nasi;nasi;nasi;nasi;tonneru;;;
